Season Number,Startup Name,Episode Number,Industry,Company Website,Started in,Number of Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Gross Margin in %,Net Margin,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Offered Equity,Received Offer,deal outcome,equity given (%),Total Deal Debt(in lakhs),Debt Interest,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,original ask amount in Cr.,valuation requested in Cr.,Total deal amount in Cr.,Deal valuation in Cr.,Deal status,Yearly revenue in Cr.,Monthy sales in Cr.,Revenue Type,Male Presenters,Female Presenters,Transgender Presenters
1,Tweeklabs,33,Sports,https://www.tweek-labs.com/,2019,4,0,Middle,Delhi,Delhi,,,No,,No,funded,No,2,1,Accepted,10,0,0,3,No,No,0,0.4,20,0.6,6,deal made,,,No Data,4,0,0
1,Proxgy,33,Technology/Software,https://www.proxgy.com/,2020,2,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,1,Accepted,10,0,0,2,No,No,0,0.35,35,1,10,deal made,,,No Data,2,0,0
1,Tweeinone,34,Beauty/Fashion,https://tweeinone.com/,2017,1,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,7.5,0,No Offer,0,0,0,0,No,No,0,0.3,4,0,0,no deal,,,No Data,0,1,0
1,Jainshikanji,35,Food,https://jainshikanjimasala.com/,2017,1,0,Middle,Modinagar,Uttar Pradesh,,,No,,No,funded,No,8,1,Accepted,30,0,0,4,No,No,0,0.4,5,0.4,1.33,deal made,,0.02,Monthly Only,1,0,0
1,Sneakare,36,Beauty/Fashion,https://sneakare.com/,2020,1,0,Young,Delhi,Delhi,,,No,,No,funded,No,5,1,Accepted,12,0,0,3,No,No,0,0.2,4,0.21,1.75,deal made,,0.07,Monthly Only,1,0,0
1,Witblox,0,Manufacturing,https://witblox.com/,2020,2,0,Middle,Mumbai,Maharashtra,,,No,,No,funded,No,3,1,Accepted,10,0,0,2,No,No,0,0.6,20,0.6,6,deal made,,,No Data,1,1,0
1,Clensta,0,Beauty/Fashion,https://clensta.com/,2017,1,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,1,100,0,0,no deal,,1.5,Monthly Only,1,0,0
1,Infinitiinsects,0,Animal/Pets,https://infiniti-insects.business.site/,2016,2,,Middle,Bangalore,Karnataka,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.25,2.5,0,0,no deal,,0.005,Monthly Only,1,1,0
1,Ashwapro,0,Services,https://ashwa.pro/,2020,1,0,Middle,Jaipur,Rajasthan,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.5,5,0,0,no deal,,,No Data,1,0,0
1,Stanleeindia,0,Electronics,https://www.stanleeindia.com/,2019,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,3,0,No Offer,0,0,0,0,No,No,0,0.6,20,0,0,no deal,,,No Data,3,0,0
1,Spacekidzindia,0,Manufacturing,https://www.spacekidzindia.in/,2016,2,0,Middle,Chennai,Tamil Nadu,,,No,,No,funded,No,2,0,No Offer,0,0,0,0,No,No,0,1,50,0,0,no deal,,,No Data,1,1,0
1,Urbannaps,0,Services,https://urbannaps.com/,2018,2,0,Young,Ahmedabad,Gujarat,,,No,,No,funded,No,4,1,Rejected,0,0,0,0,No,No,0,0.5,12.5,0,0,no deal,,,No Data,2,0,0
1,Zyppelectric,0,Vehicles/Electrical Vehicles,https://zypp.app/,2017,2,1,Young,Gurgaon,Haryana,,,Yes,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,2.2,220,0,0,no deal,,,No Data,1,1,0
1,Picsniff,0,Technology/Software,https://algomage.com/algoshare,2021,1,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,1,1,Rejected,0,0,0,0,No,No,0,0.55,55,0,0,no deal,,,No Data,1,0,0
